,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Day,Month,Year,Hour,Minute,Total Consumption
5511,2.826,0.248,238.73,11.8,9,6,2008,13,8,39.0
5512,1.516,0.21,240.76,6.2,11,7,2009,9,38,20.0
5513,1.506,0.068,237.51,6.4,29,9,2007,23,36,0.0
5514,1.918,0.126,230.09,8.2,26,5,2009,11,35,28.0
5515,0.226,0.116,243.35,1.0,29,9,2009,3,30,1.0
5516,0.496,0.196,242.13,2.2,18,2,2009,6,21,2.0
5517,1.316,0.124,239.29,5.4,20,5,2008,8,19,19.0
5518,0.412,0.244,241.21,2.0,22,3,2010,5,52,2.0
5519,4.046,0.57,237.41,17.4,22,12,2006,18,25,2.0
5520,2.446,0.08,240.71,10.0,3,9,2010,20,12,19.0
5521,1.598,0.38,241.38,6.8,24,8,2009,20,28,13.0
5522,0.434,0.138,244.58,2.0,16,4,2009,0,26,1.0
5523,1.336,0.064,239.8,5.6,3,2,2009,9,39,17.0
5524,0.146,0.0,243.8,0.6,16,7,2007,2,5,0.0
5525,0.916,0.192,239.37,3.8,29,6,2008,17,24,13.0
5526,1.062,0.658,240.62,5.2,29,6,2010,21,43,5.0
5527,0.374,0.106,243.94,1.6,4,6,2007,2,35,0.0
5528,2.576,0.264,239.14,11.0,26,12,2009,17,52,23.0
5529,4.934,0.312,234.71,21.0,12,5,2009,19,49,54.0
5530,1.708,0.196,232.94,7.4,6,4,2008,8,23,19.0
5531,0.474,0.086,244.42,2.0,24,12,2008,21,12,0.0
5532,1.38,0.27,230.41,6.0,14,5,2007,9,54,16.0
5533,0.222,0.064,241.0,1.0,19,11,2010,1,47,0.0
5534,0.374,0.118,243.4,1.6,6,8,2007,23,2,0.0
5535,1.492,0.106,240.67,6.2,2,8,2007,8,32,18.0
5536,1.324,0.116,241.56,5.4,24,8,2007,13,23,18.0
5537,2.508,0.31,233.3,10.8,1,12,2008,18,10,2.0
5538,0.234,0.114,240.81,1.0,6,4,2009,16,43,1.0
5539,0.262,0.0,246.03,1.0,5,12,2010,5,51,0.0
5540,0.336,0.14,243.46,1.4,11,10,2009,6,36,1.0
5541,1.584,0.072,239.79,6.6,4,5,2010,11,14,21.0
5542,0.61,0.122,245.11,2.4,3,12,2010,17,12,1.0
5543,4.6,0.0,235.69,19.4,20,6,2008,19,7,69.0
5544,0.328,0.078,243.77,1.4,31,8,2009,23,49,1.0
5545,0.378,0.174,244.81,1.6,19,11,2010,0,28,2.0
5546,0.332,0.11,241.93,1.6,31,7,2009,7,38,2.0
5547,0.376,0.11,242.27,1.6,27,4,2009,15,25,0.0
5548,0.408,0.2,237.33,1.8,5,4,2010,3,2,1.0
5549,1.174,0.0,238.0,4.8,7,9,2007,9,6,17.0
5550,0.266,0.068,241.73,1.2,9,7,2010,12,43,0.0
5551,0.372,0.148,235.02,1.8,6,1,2007,13,8,0.0
5552,1.438,0.066,240.41,6.0,2,5,2007,5,17,18.0
5553,0.292,0.204,237.02,1.4,23,7,2007,0,34,0.0
5554,0.926,0.198,242.55,4.0,31,3,2010,20,2,0.0
5555,1.546,0.14,240.64,6.4,7,8,2010,14,52,20.0
5556,1.32,0.058,241.79,5.4,6,1,2010,12,43,19.0
5557,0.782,0.078,239.78,3.2,6,2,2008,4,28,11.0
5558,2.976,0.24,236.77,12.6,8,11,2009,7,20,19.0
5559,0.408,0.198,238.74,1.8,10,2,2008,12,41,1.0
5560,0.474,0.1,242.72,2.0,19,4,2009,9,37,1.0
5561,0.27,0.0,242.2,1.2,18,5,2010,5,31,0.0
5562,2.686,0.622,239.63,11.4,21,10,2010,21,6,2.0
5563,0.32,0.074,241.52,1.4,10,5,2008,6,47,0.0
5564,0.436,0.056,246.13,1.8,14,2,2010,8,34,1.0
5565,0.43,0.208,245.26,1.8,19,4,2010,2,28,2.0
5566,0.26,0.218,240.87,1.4,28,8,2007,9,56,2.0
5567,0.174,0.0,240.95,0.8,28,9,2008,6,12,1.0
5568,3.862,0.074,239.6,16.0,2,9,2009,7,59,18.0
5569,0.264,0.0,246.38,1.0,19,2,2008,0,28,0.0
5570,1.4,0.0,242.23,5.8,28,4,2009,3,53,18.0
5571,0.22,0.0,242.75,0.8,3,3,2007,23,17,0.0
5572,0.166,0.0,237.02,1.0,5,11,2007,4,58,0.0
5573,5.888,0.092,236.46,24.8,17,12,2007,7,2,18.0
5574,1.43,0.058,241.42,5.8,23,9,2007,10,1,21.0
5575,0.286,0.106,243.15,1.2,9,4,2009,14,13,0.0
5576,0.906,0.3,242.23,3.8,8,11,2009,23,54,13.0
5577,5.962,0.312,241.25,25.0,3,8,2010,12,5,90.0
5578,2.69,0.398,237.78,11.4,17,5,2009,12,15,27.0
5579,0.344,0.062,246.07,1.4,12,7,2008,4,38,0.0
5580,0.194,0.0,242.08,0.8,29,7,2009,13,27,0.0
5581,1.59,0.24,242.18,6.6,22,2,2008,20,50,0.0
5582,1.176,0.0,238.75,4.8,10,2,2009,10,28,18.0
5583,1.408,0.09,237.83,5.8,10,4,2008,3,29,18.0
5584,0.492,0.294,240.58,2.4,10,11,2008,4,18,2.0
5585,1.958,0.0,235.31,8.2,5,6,2010,19,48,18.0
5586,2.284,0.0,241.8,9.4,3,8,2008,23,6,1.0
5587,0.524,0.33,238.26,2.6,28,9,2007,18,52,0.0
5588,2.612,0.326,237.28,11.0,7,2,2008,21,56,20.0
5589,0.482,0.062,246.97,2.2,31,12,2008,23,59,0.0
5590,2.386,0.078,237.55,10.0,16,10,2008,21,10,18.0
5591,0.286,0.102,240.02,1.2,16,8,2007,14,10,0.0
5592,2.958,0.0,239.13,12.2,2,6,2010,22,3,19.0
5593,0.322,0.09,243.32,1.4,15,10,2009,17,15,0.0
5594,0.13,0.0,241.66,0.6,19,4,2007,16,55,0.0
5595,0.3,0.092,242.64,1.2,13,3,2008,3,7,2.0
5596,0.552,0.23,243.15,2.4,24,4,2009,18,59,3.0
5597,0.334,0.224,238.88,1.6,27,7,2010,5,31,2.0
5598,1.35,0.22,240.08,5.6,17,8,2007,8,40,18.0
5599,0.496,0.05,241.76,2.2,11,1,2008,1,35,0.0
5600,0.196,0.194,239.84,1.2,20,8,2008,14,0,3.0
5601,0.15,0.118,238.58,0.8,8,9,2008,9,58,0.0
5602,0.254,0.09,238.29,1.2,17,8,2010,12,13,0.0
5603,0.348,0.122,241.61,1.4,5,7,2008,6,11,0.0
5604,0.764,0.208,240.64,3.2,27,7,2010,12,24,1.0
5605,1.374,0.092,240.8,5.6,29,10,2007,0,43,18.0
5606,3.832,0.224,238.58,16.0,15,7,2009,8,25,60.0
5607,0.214,0.0,238.61,1.2,7,4,2007,12,42,0.0
5608,1.774,0.228,238.48,7.4,31,1,2007,21,16,0.0
5609,1.4,0.0,238.56,6.0,16,2,2009,18,40,0.0
5610,1.712,0.0,238.42,7.2,18,10,2009,20,7,0.0
5611,1.704,0.288,242.11,7.2,16,7,2009,17,24,19.0
5612,2.346,0.238,240.59,9.8,23,3,2007,7,5,18.0
5613,0.242,0.14,244.07,1.0,13,7,2009,20,24,1.0
5614,0.61,0.1,241.47,2.6,21,3,2010,22,34,1.0
5615,0.284,0.0,241.61,1.2,21,10,2007,8,59,0.0
5616,2.558,0.338,241.92,10.6,28,11,2008,6,52,19.0
5617,1.524,0.08,233.65,6.6,21,1,2008,11,9,17.0
5618,2.128,0.386,243.6,9.0,23,10,2010,15,31,22.0
5619,6.014,0.598,232.58,26.0,2,6,2010,18,48,64.0
5620,0.332,0.0,240.32,1.4,22,5,2010,6,9,1.0
5621,1.868,0.164,241.76,7.6,20,7,2010,20,43,19.0
5622,0.324,0.106,242.48,1.4,2,12,2008,0,16,0.0
5623,0.972,0.0,242.91,4.0,1,1,2008,21,56,1.0
5624,0.22,0.0,243.35,1.0,13,2,2007,3,26,0.0
5625,0.658,0.14,240.95,2.8,15,6,2008,22,32,1.0
5626,0.434,0.0,244.2,1.8,29,6,2009,0,0,1.0
5627,1.382,0.0,238.65,5.8,11,8,2008,21,39,0.0
5628,0.48,0.238,244.97,2.2,29,3,2009,12,25,1.0
5629,1.486,0.086,248.14,6.0,27,10,2010,2,12,21.0
5630,1.368,0.05,243.95,5.6,2,4,2009,22,20,18.0
5631,0.592,0.07,240.7,2.4,29,1,2009,18,50,0.0
5632,0.492,0.112,246.7,2.2,12,10,2007,15,27,0.0
5633,0.34,0.108,246.69,1.4,20,2,2008,3,5,0.0
5634,1.288,0.046,241.61,5.2,2,11,2009,8,41,18.0
5635,1.522,0.224,239.22,6.4,11,7,2009,8,49,20.0
5636,0.226,0.0,241.63,1.0,13,11,2007,3,41,0.0
5637,0.35,0.23,241.47,1.8,18,8,2009,7,28,0.0
5638,0.11,0.0,240.6,0.6,9,7,2007,5,0,0.0
5639,0.264,0.102,243.75,1.2,10,4,2009,2,52,0.0
5641,1.842,0.146,242.57,7.6,21,3,2007,22,24,4.0
5642,1.61,0.0,240.57,6.6,17,10,2008,8,4,20.0
5643,1.346,0.084,237.54,5.6,22,10,2007,11,47,17.0
5645,0.474,0.17,241.19,2.4,7,7,2009,1,29,5.0
5646,1.252,0.166,232.28,5.4,21,7,2007,13,47,18.0
5647,0.39,0.088,235.7,1.8,15,5,2007,17,49,0.0
5648,0.282,0.226,242.78,1.4,22,9,2007,23,41,1.0
5649,1.444,0.216,238.77,6.0,17,9,2009,11,1,19.0
5650,3.28,0.122,244.34,13.4,18,12,2007,15,21,19.0
5651,0.426,0.198,243.41,1.8,20,10,2010,1,26,3.0
5652,0.302,0.106,243.46,1.2,25,2,2008,2,19,1.0
5653,0.4,0.092,239.2,1.6,24,9,2008,1,3,1.0
5654,3.776,0.42,239.06,15.8,12,1,2007,22,24,17.0
5655,2.886,0.368,236.74,12.4,13,8,2009,21,24,36.0
5656,0.33,0.086,244.97,1.4,14,3,2008,2,51,0.0
5657,0.284,0.068,238.96,1.2,3,2,2008,8,40,0.0
5658,5.392,0.054,234.91,22.8,27,1,2010,21,49,54.0
5659,0.278,0.12,243.07,1.2,16,9,2008,2,46,0.0
5660,1.58,0.198,242.52,6.4,14,5,2010,10,21,19.0
5661,1.122,0.064,233.7,4.8,6,2,2007,10,4,0.0
5662,0.406,0.164,240.73,1.8,18,10,2009,14,40,2.0
5664,1.376,0.08,242.06,5.6,31,10,2009,3,26,19.0
5665,1.51,0.056,241.96,6.2,3,9,2010,10,31,19.0
5667,3.826,0.206,238.18,16.0,5,11,2009,21,42,19.0
5668,0.196,0.0,242.91,0.8,6,6,2009,5,21,1.0
5669,1.632,0.114,240.93,6.8,16,6,2010,13,39,25.0
5670,0.298,0.108,245.07,1.2,29,10,2007,15,23,1.0
5671,1.712,0.348,241.72,7.2,23,10,2010,12,35,19.0
5672,0.868,0.0,243.11,4.2,25,1,2010,4,32,12.0
5673,3.318,0.112,241.55,13.6,21,12,2007,20,57,18.0
5674,1.664,0.056,240.81,6.8,18,12,2006,21,52,0.0
5675,1.84,0.116,235.3,7.8,30,3,2007,22,17,17.0
5676,0.172,0.0,240.39,0.8,28,6,2009,14,20,1.0
5677,0.254,0.056,243.46,1.0,27,2,2010,6,37,1.0
5678,0.652,0.368,242.1,3.0,9,12,2009,17,24,4.0
5679,0.424,0.216,238.25,2.0,2,5,2007,11,25,0.0
5680,1.31,0.0,242.05,5.4,13,4,2010,12,14,19.0
5681,1.308,0.0,244.63,5.2,23,12,2009,0,59,18.0
5682,0.424,0.192,244.26,1.8,18,12,2008,3,17,0.0
5683,0.708,0.086,241.79,2.8,2,5,2010,18,31,1.0
5684,0.292,0.102,242.72,1.2,28,2,2008,2,54,1.0
5685,0.372,0.106,237.99,1.6,6,4,2007,0,3,3.0
5686,0.608,0.0,246.28,2.4,12,3,2008,13,18,0.0
5687,2.1,0.178,238.85,8.8,18,5,2008,10,38,18.0
5688,1.156,0.114,238.7,4.8,9,11,2008,21,58,1.0
5689,0.252,0.254,240.96,1.4,28,8,2008,10,27,0.0
5690,0.24,0.0,243.2,1.0,19,12,2006,5,10,0.0
5691,0.694,0.092,245.43,2.8,3,7,2010,9,22,2.0
5692,0.258,0.0,245.26,1.0,4,10,2008,3,59,1.0
5693,0.332,0.274,244.42,1.6,28,7,2009,0,38,1.0
5694,1.272,0.06,239.55,5.2,26,11,2010,12,49,18.0
5695,0.344,0.24,241.25,1.6,24,7,2010,11,57,2.0
5696,0.28,0.0,242.27,1.2,24,5,2010,14,30,1.0
5697,1.092,0.378,241.28,4.8,27,8,2009,6,29,14.0
5698,1.318,0.1,242.45,5.4,15,7,2010,21,10,20.0
5699,1.792,0.0,232.91,7.6,10,1,2007,9,9,17.0
5700,3.056,0.204,236.01,13.0,14,9,2009,7,7,19.0
5701,0.184,0.08,241.73,0.8,9,11,2007,1,12,0.0
5702,0.314,0.226,241.46,1.6,16,7,2008,18,46,3.0
5703,3.2,0.134,239.34,13.4,31,3,2007,18,49,22.0
5704,1.518,0.316,238.17,6.4,18,3,2008,17,49,18.0
5705,1.754,0.22,236.85,7.8,7,10,2007,7,41,18.0
5706,0.426,0.072,242.93,2.0,23,1,2008,2,3,0.0
5707,0.378,0.146,242.24,1.6,17,5,2009,1,54,1.0
5708,0.308,0.114,245.9,1.4,18,3,2007,4,17,0.0
5709,1.212,0.0,239.38,5.0,8,2,2010,5,22,19.0
5710,0.202,0.132,239.97,1.0,22,8,2007,12,1,0.0
5711,1.506,0.212,242.86,6.2,11,6,2009,11,50,19.0
5712,2.846,0.08,238.52,12.2,31,3,2010,7,39,18.0
5713,2.1,0.096,238.62,8.8,19,12,2006,17,45,17.0
5714,0.348,0.25,241.93,1.8,19,7,2010,11,33,1.0
5715,0.334,0.128,241.88,1.4,14,2,2007,4,3,1.0
5716,4.53,0.262,236.62,19.6,18,8,2009,21,20,48.0
5717,5.374,0.19,233.32,23.2,10,12,2008,20,14,44.0
5718,2.588,0.244,242.47,10.6,25,4,2010,1,4,20.0
5719,0.384,0.2,237.84,1.8,3,6,2010,1,37,2.0
5720,0.32,0.096,243.45,1.4,28,2,2010,13,25,2.0
5721,1.478,0.112,245.36,6.0,2,5,2008,15,29,18.0
5722,2.232,0.0,239.81,9.2,3,12,2009,8,1,18.0
5723,3.028,0.074,237.82,12.6,25,3,2008,7,23,17.0
5724,1.674,0.124,243.68,6.8,3,8,2010,22,33,19.0
5725,0.316,0.05,237.38,1.2,5,5,2010,6,36,1.0
5726,0.434,0.272,247.05,2.0,19,1,2010,3,19,1.0
5727,3.048,0.062,241.72,12.6,1,9,2010,15,57,38.0
5728,0.292,0.114,242.03,1.2,3,2,2007,2,55,1.0
5729,1.034,0.21,241.48,4.4,26,4,2008,12,35,11.0
5730,0.308,0.0,240.44,1.2,19,4,2007,5,4,0.0
5731,1.456,0.114,243.81,6.0,4,10,2009,13,24,19.0
5732,0.234,0.09,241.0,1.0,28,6,2010,0,59,0.0
5733,0.252,0.048,242.2,1.0,23,2,2010,6,2,1.0
5735,4.748,0.412,233.5,20.4,12,6,2007,20,53,53.0
5736,0.814,0.176,240.76,3.4,17,6,2010,18,29,11.0
5737,0.374,0.086,240.31,1.6,16,10,2008,5,30,2.0
5738,0.83,0.068,247.03,3.6,12,4,2008,23,33,0.0
5739,1.522,0.182,237.64,6.4,10,3,2008,11,1,18.0
5740,1.454,0.046,239.95,6.0,23,10,2008,19,55,1.0
5741,0.222,0.12,237.1,1.0,9,6,2007,10,42,0.0
5742,2.69,0.064,235.91,11.4,30,1,2008,19,19,17.0
5743,0.222,0.0,247.14,0.8,12,11,2007,2,7,0.0
5744,1.864,0.186,237.1,7.8,2,12,2007,20,13,2.0
5745,0.33,0.174,241.57,1.6,4,5,2007,13,24,0.0
5746,2.706,0.078,237.12,11.4,11,8,2010,7,28,19.0
5747,0.386,0.176,240.48,1.8,3,8,2007,11,57,2.0
5748,1.618,0.072,237.09,7.2,6,11,2007,8,7,17.0
5749,3.894,0.0,238.05,16.4,2,9,2009,12,14,56.0
5750,3.448,0.108,237.18,14.4,18,2,2007,1,35,18.0
5751,1.972,0.252,242.53,8.2,20,12,2009,9,7,18.0
5752,1.418,0.0,242.36,5.8,13,3,2008,9,21,18.0
5753,1.39,0.208,239.74,5.8,26,6,2010,12,56,18.0
5754,0.398,0.0,242.4,2.0,17,7,2008,17,26,0.0
5755,1.598,0.206,243.24,6.6,19,1,2010,12,39,19.0
5756,1.366,0.104,240.08,5.6,19,3,2010,12,47,19.0
5757,1.12,0.094,241.61,4.8,18,5,2008,23,12,4.0
5758,1.96,0.078,238.64,8.4,20,1,2008,20,37,1.0
5759,2.944,0.0,240.55,12.2,1,7,2010,20,23,20.0
5760,0.098,0.0,241.45,0.4,15,6,2007,12,45,0.0
5761,1.378,0.072,244.8,5.6,7,8,2009,23,12,19.0
5762,2.228,0.2,238.76,9.4,28,12,2009,10,12,19.0
5763,3.566,0.046,236.85,15.0,15,12,2007,20,36,19.0
5764,0.224,0.0,243.87,1.0,2,12,2008,0,29,0.0
5765,0.332,0.208,235.57,1.6,30,7,2007,18,6,0.0
5766,1.57,0.34,243.74,6.6,3,11,2009,0,41,1.0
5767,0.114,0.0,236.05,0.6,5,5,2007,3,35,0.0
5768,1.438,0.184,237.96,6.0,7,9,2007,7,59,18.0
5769,0.318,0.128,242.4,1.4,9,6,2007,23,27,0.0
5770,0.108,0.0,236.16,0.6,27,4,2007,0,3,0.0
5771,2.462,0.208,239.02,10.2,20,2,2010,19,29,19.0
5772,1.414,0.1,243.35,5.8,15,11,2009,10,23,19.0
5773,0.236,0.0,244.06,1.0,16,1,2007,2,58,0.0
5774,0.222,0.13,240.22,1.0,18,4,2007,1,30,0.0
5775,1.982,0.108,235.05,8.4,21,11,2008,17,7,17.0
5776,1.95,0.494,241.65,8.2,22,4,2009,12,18,20.0
5777,1.872,0.158,237.36,7.8,19,12,2008,8,16,18.0
5778,0.31,0.21,241.08,1.6,8,3,2010,4,20,2.0
5779,1.694,0.068,239.42,7.0,25,2,2010,11,45,18.0
5780,3.716,0.0,244.05,15.2,3,5,2010,13,37,58.0
5781,0.438,0.228,242.9,2.0,8,3,2010,17,50,1.0
5782,0.178,0.152,240.76,0.8,8,11,2008,16,45,1.0
5783,0.212,0.06,244.51,0.8,26,11,2008,1,16,0.0
5784,0.256,0.0,243.97,1.0,4,1,2010,3,39,1.0
5785,1.374,0.0,242.83,5.6,31,7,2009,1,15,19.0
5786,2.002,0.0,241.75,8.6,13,4,2008,21,58,10.0
5787,2.726,0.056,240.67,11.2,22,3,2008,21,32,18.0
5788,1.408,0.198,240.03,5.8,9,11,2009,7,58,18.0
5789,0.216,0.18,241.11,1.2,15,8,2008,19,30,2.0
5790,1.426,0.05,235.17,6.0,4,2,2008,10,52,17.0
5791,0.642,0.058,238.4,2.6,19,2,2010,18,23,1.0
5792,0.586,0.11,240.88,2.4,23,8,2007,20,8,1.0
5793,0.626,0.088,239.7,3.0,9,9,2007,16,57,0.0
5795,1.362,0.056,244.16,5.6,3,7,2009,15,43,19.0
5796,0.152,0.0,239.42,0.6,17,6,2008,1,25,1.0
5797,1.554,0.67,245.83,6.8,24,10,2010,1,10,1.0
5798,3.656,0.138,236.38,15.4,1,12,2008,21,55,17.0
5799,0.208,0.0,243.23,0.8,23,12,2006,1,58,0.0
5800,1.254,0.07,243.02,5.0,9,7,2010,1,9,19.0
5801,2.568,0.082,240.14,10.6,5,5,2009,21,46,20.0
5802,0.254,0.0,242.08,1.0,27,4,2008,20,51,1.0
5803,0.39,0.0,245.3,1.8,12,10,2007,16,44,0.0
5804,0.886,0.234,241.57,4.0,9,4,2010,10,47,1.0
5805,2.558,0.492,240.57,10.8,4,12,2008,20,0,18.0
5806,0.128,0.0,243.3,0.4,30,9,2009,6,8,1.0
5807,0.32,0.06,244.8,1.2,1,7,2008,1,59,0.0
5808,0.244,0.0,242.74,1.0,25,11,2009,6,21,0.0
5809,1.8,0.062,240.31,7.4,16,4,2010,8,59,20.0
5810,0.286,0.0,240.98,1.2,21,4,2008,4,31,0.0
5811,1.36,0.218,237.18,5.8,22,9,2008,11,20,18.0
5812,0.268,0.0,244.31,1.2,24,1,2009,16,23,0.0
5813,1.648,0.056,239.73,6.8,12,9,2008,18,54,0.0
5814,0.62,0.0,247.06,2.6,20,11,2009,6,49,1.0
5815,1.372,0.0,238.21,5.8,21,11,2008,12,16,17.0
5816,0.24,0.0,246.09,1.0,27,3,2008,0,11,1.0
5817,0.324,0.0,241.17,1.6,5,11,2008,12,6,1.0
5818,0.762,0.084,241.67,3.2,28,9,2008,1,51,1.0
5819,1.698,0.15,243.86,7.0,29,12,2006,10,33,18.0
5820,0.26,0.058,243.02,1.2,12,5,2008,14,18,0.0
5821,1.188,0.056,234.17,5.0,24,1,2010,17,46,1.0
5822,0.366,0.09,249.93,1.4,11,5,2010,1,16,0.0
5823,0.298,0.0,246.13,1.2,12,1,2009,4,26,1.0
5824,0.362,0.2,242.78,1.6,28,8,2010,21,19,1.0
5825,1.662,0.0,247.85,6.6,28,12,2008,4,0,0.0
5826,2.22,0.148,238.08,9.2,1,12,2007,20,44,18.0
5827,1.798,0.316,238.93,7.6,23,7,2010,19,56,20.0
5829,0.284,0.066,242.42,1.2,20,11,2008,4,35,0.0
5830,0.688,0.126,242.09,2.8,10,9,2008,14,39,0.0
5831,1.446,0.086,242.32,6.0,4,5,2007,23,52,18.0
5832,0.65,0.084,246.2,2.6,16,12,2009,11,8,1.0
5833,0.352,0.352,240.53,2.0,22,6,2007,15,41,1.0
5834,0.104,0.0,234.66,0.4,8,8,2007,5,17,0.0
5835,0.358,0.066,241.68,1.6,27,9,2008,11,20,2.0
5836,1.354,0.066,242.21,5.6,28,11,2007,11,42,18.0
5837,0.204,0.124,236.15,1.0,8,5,2007,16,25,0.0
5838,0.38,0.106,244.27,1.8,6,5,2010,1,40,2.0
5839,2.354,0.0,239.25,9.8,31,3,2007,5,33,0.0
5840,1.024,0.048,238.11,4.2,20,1,2007,9,48,3.0
5841,1.29,0.082,239.05,5.4,10,2,2010,12,1,18.0
5842,1.4,0.08,239.42,5.8,22,2,2010,11,38,18.0
5843,2.362,0.08,239.54,9.8,22,2,2007,1,47,0.0
5844,0.228,0.0,243.36,1.0,30,3,2007,17,38,0.0
5846,0.318,0.064,243.7,1.2,10,6,2010,2,10,1.0
5847,0.994,0.14,238.66,4.4,27,4,2010,1,26,4.0
5848,0.352,0.048,242.71,1.6,22,11,2008,3,23,0.0
5849,1.312,0.0,241.5,5.4,23,2,2007,16,11,18.0
5850,0.192,0.166,245.91,1.0,23,8,2008,22,58,1.0
5851,0.218,0.0,241.42,0.8,15,4,2007,3,30,0.0
5852,1.778,0.084,231.81,7.6,6,3,2008,7,20,17.0
5853,2.556,0.062,237.79,11.4,25,6,2008,6,53,17.0
5854,2.132,0.046,240.64,8.8,10,11,2010,20,48,20.0
5855,1.326,0.108,236.07,5.6,14,5,2007,1,44,18.0
5856,0.274,0.0,243.63,1.2,19,12,2008,3,45,0.0
5857,4.752,0.24,236.48,20.0,9,3,2008,20,28,56.0
5858,0.422,0.106,243.44,1.8,24,5,2010,1,9,1.0
5859,1.344,0.14,240.14,5.8,29,9,2007,11,39,12.0
5861,1.844,0.196,242.37,7.6,14,1,2009,10,0,18.0
5862,0.254,0.0,246.35,1.0,11,4,2009,0,39,0.0
5863,3.722,0.0,236.72,15.8,24,12,2007,17,28,19.0
5864,0.28,0.0,240.25,1.2,4,7,2009,1,31,0.0
5865,0.256,0.0,245.99,1.0,11,4,2009,3,33,1.0
5866,0.376,0.104,241.05,1.6,23,3,2010,23,20,1.0
5867,1.558,0.374,241.97,6.6,14,7,2007,22,51,19.0
5868,3.996,0.148,238.41,16.6,11,7,2007,16,57,38.0
5869,0.312,0.098,239.5,1.2,10,6,2009,6,5,3.0
5870,0.786,0.276,242.49,3.6,19,9,2008,15,14,4.0
5871,1.598,0.07,243.9,6.6,17,1,2007,22,46,19.0
5872,0.24,0.092,240.59,1.0,17,7,2008,1,20,0.0
5873,0.476,0.066,242.03,2.4,30,10,2008,17,40,0.0
5874,0.11,0.0,240.6,0.4,19,9,2007,5,39,0.0
5875,6.032,0.266,236.87,25.4,31,5,2008,13,57,92.0
5876,0.598,0.284,241.11,2.8,18,8,2009,11,46,5.0
5877,1.44,0.1,240.96,6.0,18,3,2008,8,54,20.0
5878,0.352,0.116,247.83,1.4,31,10,2010,7,21,1.0
5879,0.276,0.094,240.0,1.2,9,1,2009,11,7,2.0
5880,1.798,0.31,233.27,8.2,21,7,2007,13,36,18.0
5881,1.31,0.0,243.06,5.4,26,2,2007,23,6,18.0
5882,3.244,0.0,240.2,13.4,27,10,2007,8,53,18.0
5883,3.104,0.464,239.32,13.0,28,12,2007,21,47,18.0
5884,1.434,0.062,242.28,5.8,13,9,2008,16,54,19.0
5885,1.026,0.0,241.8,4.2,20,9,2008,22,32,1.0
5886,0.29,0.0,241.09,1.4,9,4,2009,17,27,1.0
5887,0.248,0.0,242.12,1.0,13,10,2008,23,44,1.0
5888,0.162,0.0,242.98,0.6,28,5,2008,6,9,1.0
5889,0.832,0.062,242.3,3.4,19,10,2008,22,52,1.0
5890,3.908,0.354,239.43,16.6,24,3,2010,13,27,51.0
5891,0.3,0.076,244.48,1.2,3,12,2007,3,52,0.0
5892,1.31,0.104,241.53,5.4,9,12,2009,2,23,19.0
5893,1.42,0.0,242.23,5.8,26,5,2008,9,42,19.0
5894,0.47,0.1,242.7,2.0,19,4,2009,9,14,0.0
5895,0.156,0.0,242.0,0.6,28,7,2010,2,48,0.0
5896,1.692,0.254,233.91,7.6,16,5,2007,19,1,24.0
5897,3.028,0.074,240.8,12.6,14,1,2009,22,51,39.0
5898,0.468,0.252,241.68,2.2,5,10,2008,8,34,1.0
5899,1.734,0.0,238.91,7.2,27,5,2010,9,3,20.0
5900,0.308,0.088,245.03,1.2,23,5,2009,1,1,0.0
5901,0.402,0.128,241.96,1.8,18,2,2010,18,1,1.0
5902,2.872,0.45,240.52,12.0,28,5,2008,19,51,40.0
5903,0.44,0.0,245.79,2.0,11,2,2008,15,30,0.0
5904,0.218,0.0,245.35,0.8,22,3,2007,5,54,0.0
5905,0.228,0.09,240.72,1.0,23,8,2007,11,52,0.0
5906,3.356,0.0,234.88,14.2,19,6,2008,9,11,55.0
5907,0.386,0.0,246.15,1.6,1,2,2007,2,26,0.0
5908,1.708,0.072,234.54,7.2,5,4,2010,11,4,17.0
5909,2.246,0.234,236.48,9.4,7,2,2010,0,41,29.0
5910,1.528,0.304,238.99,6.4,23,9,2008,20,1,1.0
5911,0.158,0.12,239.28,0.8,14,8,2008,6,1,1.0
5912,2.72,0.2,237.79,11.4,16,3,2008,20,59,19.0
5913,0.334,0.256,243.62,1.6,8,12,2009,20,29,1.0
5914,1.17,0.0,243.69,5.0,4,4,2009,13,6,17.0
5915,1.308,0.0,243.13,5.4,19,3,2008,16,49,19.0
5916,0.338,0.064,243.74,1.4,23,1,2008,22,28,0.0
5917,0.286,0.204,238.76,1.4,26,6,2008,12,26,3.0
5918,0.234,0.13,242.42,1.0,20,6,2008,15,19,0.0
5919,0.27,0.0,243.51,1.2,23,5,2010,3,15,1.0
5920,1.462,0.218,241.52,6.0,2,4,2008,14,14,19.0
5921,0.408,0.164,246.21,1.8,12,7,2008,4,36,0.0
5922,0.66,0.104,241.58,2.8,3,12,2007,15,55,0.0
5923,0.244,0.0,237.1,1.0,8,4,2007,18,21,0.0
5924,2.71,0.128,235.98,11.6,3,11,2009,20,57,19.0
5925,1.824,0.266,241.53,7.6,22,12,2006,16,36,19.0
5926,0.308,0.21,240.64,1.6,8,7,2010,4,20,2.0
5927,0.342,0.078,246.51,1.4,24,1,2010,5,57,0.0
5928,0.226,0.0,246.62,1.0,12,1,2007,2,32,0.0
5929,2.316,0.226,240.91,9.6,3,7,2008,22,49,0.0
